#Nouns
##masculine - singular
eć$	amoj$	VERB-indicative-present-dual
eć$	atej$	VERB-indicative-present-dual
eć$	atej$	VERB-indicative-present-dual
###plural
ować$	ujemy$	VERB-indicative-present-plural
ować$	ujeće$	VERB-indicative-present-plural
ować$	uja$	VERB-indicative-present-plural
nyć$	njemy$	VERB-indicative-present-plural
nyć$	njeće$	VERB-indicative-present-plural
nyć$	nu$	VERB-indicative-present-plural
c$	čemy$	VERB-indicative-present-plural
c$	čeće$	VERB-indicative-present-plural
c$	ku$	VERB-indicative-present-plural
sć$	semy$	VERB-indicative-present-plural
sć$	seće$	VERB-indicative-present-plural
sć$	su$	VERB-indicative-present-plural
zć$	zemy$	VERB-indicative-present-plural
zć$	zeće$	VERB-indicative-present-plural
zć$	zu	VERB-indicative-present-plural
ć$	jemy$	VERB-indicative-present-plural
ć$	jeće$	VERB-indicative-present-plural
ć$	ja$	VERB-indicative-present-plural
#
ić$	imy$	VERB-indicative-present-plural
ić$	iće$	VERB-indicative-present-plural
ić$	ja$	VERB-indicative-present-plural
yć$	ymy$	VERB-indicative-present-plural
yć$	yće$	VERB-indicative-present-plural
yć$	ja$	VERB-indicative-present-plural
ać$	amy$	VERB-indicative-present-plural
ać$	aće$	VERB-indicative-present-plural
ać$	aja$	VERB-indicative-present-plural
ać$	jemy$	VERB-indicative-present-plural
ać$	jeće$	VERB-indicative-present-plural
ać$	ju$	VERB-indicative-present-plural
eć$	amy$	VERB-indicative-present-plural
eć$	aće$	VERB-indicative-present-plural
eć$	aja$	VERB-indicative-present-plural
##Präteritum
###singular
nyć$ njech$	VERB-indicative-past-singular
nyć$ nješe$	VERB-indicative-past-singular
nyć$ nješe$	VERB-indicative-past-singular
c$	čech$	VERB-indicative-past-singular
c$	češe$	VERB-indicative-past-singular
c$	češe$	VERB-indicative-past-singular
#
ić$	ich$	VERB-indicative-past-singular
ić$	ach$	VERB-indicative-past-singular
ić$	i$	VERB-indicative-past-singular
ić$	eše$	VERB-indicative-past-singular
ić$	i$	VERB-indicative-past-singular
ić$	eše$	VERB-indicative-past-singular
yć$ ych$	VERB-indicative-past-singular
yć$ jach$	VERB-indicative-past-singular
yć$ y$	VERB-indicative-past-singular
yć$ ješe$	VERB-indicative-past-singular
yć$ y$	VERB-indicative-past-singular
yć$ ješe$	VERB-indicative-past-singular
ać$	ach$	VERB-indicative-past-singular
ać$	a$	VERB-indicative-past-singular
ać$	aše$	VERB-indicative-past-singular
ać$	a$	VERB-indicative-past-singular
ać$	aše$	VERB-indicative-past-singular
eć$	ach$	VERB-indicative-past-singular
eć$	aše$	VERB-indicative-past-singular
eć$	aše$	VERB-indicative-past-singular
yć$ jech$	VERB-indicative-past-singular
yć$ je-še$	VERB-indicative-past-singular
yć$ je-še$	VERB-indicative-past-singular
###dual
nyć$ njechmoj$	VERB-indicative-past-dual
nyć$ nještej$	VERB-indicative-past-dual
nyć$ nještej$	VERB-indicative-past-dual
c$	čechmoj$	VERB-indicative-past-dual
c$	češtej$	VERB-indicative-past-dual
c$	češtej$	VERB-indicative-past-dual
#
ić$	ichmoj$	VERB-indicative-past-dual
ić$	achmoj$	VERB-indicative-past-dual
ić$	ištej$	VERB-indicative-past-dual
ić$	eštej$	VERB-indicative-past-dual
ić$	ištej$	VERB-indicative-past-dual
ić$	eštej$	VERB-indicative-past-dual
yć$ ychmoj$	VERB-indicative-past-dual
yć$ achmoj$	VERB-indicative-past-dual
yć$ yštej$	VERB-indicative-past-dual
yć$ eštej$	VERB-indicative-past-dual
yć$ yštej$	VERB-indicative-past-dual
yć$ eštej$	VERB-indicative-past-dual
ać$	achmoj$	VERB-indicative-past-dual
ać$	aštej$	VERB-indicative-past-dual
ać$	aštej$	VERB-indicative-past-dual
eć$	achmoj$	VERB-indicative-past-dual
eć$	aštej$	VERB-indicative-past-dual
eć$	aštej$	VERB-indicative-past-dual
yć$ jechmoj$	VERB-indicative-past-dual
yć$ ještaj$	VERB-indicative-past-dual
yć$ ještaj$	VERB-indicative-past-dual
###plural
nyć$ njechmy$	VERB-indicative-past-plural
nyć$ nješće$	VERB-indicative-past-plural
nyć$ njechu$	VERB-indicative-past-plural
c$	čechmy$	VERB-indicative-past-plural
c$	češće$	VERB-indicative-past-plural
c$	čechu$	VERB-indicative-past-plural
#
ić$	ichmy$	VERB-indicative-past-plural
ić$	achmy$	VERB-indicative-past-plural
ić$	išće$	VERB-indicative-past-plural
ić$	ešće$	VERB-indicative-past-plural
ić$	ichu$	VERB-indicative-past-plural
ić$	achu$	VERB-indicative-past-plural
yć$ ychmy$	VERB-indicative-past-plural
yć$ achmy$	VERB-indicative-past-plural
yć$ yšće$	VERB-indicative-past-plural
yć$ ešće$	VERB-indicative-past-plural
yć$ ychu$	VERB-indicative-past-plural
yć$ achu$	VERB-indicative-past-plural
ać$	achmy$	VERB-indicative-past-plural
ać$	ašće$	VERB-indicative-past-plural
ać$	achu$	VERB-indicative-past-plural
eć$	achmy$	VERB-indicative-past-plural
eć$	ašće$	VERB-indicative-past-plural
eć$	achu$	VERB-indicative-past-plural
yć$ jechmy$	VERB-indicative-past-plural
yć$ ješe$	VERB-indicative-past-plural
yć$ jechu$	VERB-indicative-past-plural
##Imperative
###singular
ować$	uj	VERB-imperative-singular
nyć$	ń$	VERB-imperative-singular
c$	č$	VERB-imperative-singular
sć$	s$	VERB-imperative-singular
zć$	z$	VERB-imperative-singular
ć$	j$	VERB-imperative-singular
#
ić$	j$	VERB-imperative-singular
yć$	j$	VERB-imperative-singular
ać$	aj$	VERB-imperative-singular
eć$	aj$	VERB-imperative-singular
###dual
ować$	ujmoj	VERB-imperative-dual
ować$	ujtej	VERB-imperative-dual
nyć$	ńmoj$	VERB-imperative-dual
nyć$	ńtej$	VERB-imperative-dual
c$	čmoj$	VERB-imperative-dual
c$	čtej$	VERB-imperative-dual
sć$	smoj$	VERB-imperative-dual
sć$	stej$	VERB-imperative-dual
zć$	zmoj$	VERB-imperative-dual
zć$	ztej$	VERB-imperative-dual
ć$	jmoj$	VERB-imperative-dual
ć$	jtej$	VERB-imperative-dual
#
ić$	jmoj$	VERB-imperative-dual
ić$	jtej$	VERB-imperative-dual
yć$	jmoj$	VERB-imperative-dual
yć$	jtej$	VERB-imperative-dual
ać$	ajmoj$	VERB-imperative-dual
ać$	ajtej$	VERB-imperative-dual
eć$	ajmoj$	VERB-imperative-dual
eć$	ajtej$	VERB-imperative-dual
###plural
ować$	ujmy$	VERB-imperative-plural
ować$	ujće$	VERB-imperative-plural
nyć$	ńmy$	VERB-imperative-plural
nyć$	ńće$	VERB-imperative-plural
c$	čmy$	VERB-imperative-plural
c$	čće$	VERB-imperative-plural
sć$	smy$	VERB-imperative-plural
sć$	sće$	VERB-imperative-plural
zć$	zmy$	VERB-imperative-plural
zć$	zće$	VERB-imperative-plural
ć$	jmy$	VERB-imperative-plural
ć$	jće$	VERB-imperative-plural
#
ić$	jmy$	VERB-imperative-plural
ić$	jće$	VERB-imperative-plural
yć$	jmy$	VERB-imperative-plural
yć$	jće$	VERB-imperative-plural
ać$	ajmy$	VERB-imperative-plural
ać$	ajće$	VERB-imperative-plural
eć$	ajmy$	VERB-imperative-plural
eć$	ajće$	VERB-imperative-plural
##Participle-l-form
###singular
ć$	ł$	VERB-participle-masculine-singular
ć$	ła$	VERB-participle-feminine-singular
ć$	ło$	VERB-participle-neuter-singular
eć$	ał$	VERB-participle-masculine-singular
eć$	ała$	VERB-participle-feminine-singular
eć$	ało$	VERB-participle-neuter-singular
c$	kł$	VERB-participle-masculine-singular
c$	kła$	VERB-participle-feminine-singular
c$	kło$	VERB-participle-neuter-singular
###dual
ć$	łoj$	VERB-participle-masculine,feminine,neuter-dual
eć$	ałoj$	VERB-participle-masculine,feminine,neuter-dual
c$	kłoj$	VERB-participle-masculine,feminine,neuter-dual
###plural
ć$	łi$	VERB-participle-masculine,feminine,neuter-plural
ć$	łe$	VERB-participle-masculine,feminine,neuter-plural
eć$	ałi$	VERB-participle-masculine,feminine,neuter-plural
eć$	ałe$	VERB-participle-masculine,feminine,neuter-plural
c$	kłi$	VERB-participle-masculine,feminine,neuter-plural
c$	kłe$	VERB-participle-masculine,feminine,neuter-plural
##Participle-Present
ć$	cy$	VERB-participle-Pres-masculine,feminine,neuter
ć$	ucy$	VERB-participle-Pres-masculine,feminine,neuter
c$	ucy$	VERB-participle-Pres-masculine,feminine,neuter
##Participle-Passive
yć$	eny$	VERB-participle-Pass-masculine,feminine,neuter
yć$	ety$	VERB-participle-Pass-masculine,feminine,neuter
ać$	eny$	VERB-participle-Pass-masculine,feminine,neuter
ać$	ety$	VERB-participle-Pass-masculine,feminine,neuter
eć$	eny$	VERB-participle-Pass-masculine,feminine,neuter
eć$	ety$	VERB-participle-Pass-masculine,feminine,neuter
ić$	eny$	VERB-participle-Pass-masculine,feminine,neuter
ić$	ety$	VERB-participle-Pass-masculine,feminine,neuter
